ID,Overall_Experience,Seat_Comfort,Seat_Class,Arrival_Time_Convenient,Catering,Platform_Location,Onboard_Wifi_Service,Onboard_Entertainment,Online_Support,Ease_of_Online_Booking,Onboard_Service,Legroom,Baggage_Handling,CheckIn_Service,Cleanliness,Online_Boarding
98800001,0,Needs Improvement,Green Car,Excellent,Excellent,Very Convenient,Good,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Good,Needs Improvement,Poor
98800002,0,Poor,Ordinary,Excellent,Poor,Needs Improvement,Good,Poor,Good,Good,Excellent,Needs Improvement,Poor,Needs Improvement,Good,Good
98800003,1,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent
98800004,0,Acceptable,Ordinary,Needs Improvement,,Needs Improvement,Acceptable,Needs Improvement,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Good,Acceptable,Acceptable
98800005,1,Acceptable,Ordinary,Acceptable,Acceptable,Manageable,Needs Improvement,Good,Excellent,Good,Good,Good,Good,Good,Good,Good
98800006,1,Needs Improvement,Ordinary,Needs Improvement,Acceptable,Needs Improvement,Good,Excellent,Good,Acceptable,Acceptable,Good,Acceptable,Acceptable,Acceptable,Acceptable
98800007,0,Good,Green Car,Excellent,Good,Inconvenient,Good,Good,Good,Good,Good,Excellent,Needs Improvement,Excellent,Acceptable,Good
98800008,0,Acceptable,Green Car,,Acceptable,Inconvenient,Excellent,Excellent,Good,Good,Good,Acceptable,Good,Good,Good,Excellent
98800009,0,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Acceptable,Acceptable,Acceptable,Acceptable,Needs Improvement,Acceptable,Needs Improvement,Acceptable
98800010,0,Needs Improvement,Ordinary,Good,Good,Convenient,Acceptable,Good,Good,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Acceptable
98800011,1,Good,Green Car,Good,Good,Inconvenient,Poor,Good,Poor,Poor,Excellent,Excellent,Acceptable,Good,Good,Poor
98800012,1,Good,Ordinary,Acceptable,Good,Needs Improvement,Acceptable,Good,Acceptable,Acceptable,Needs Improvement,Excellent,Needs Improvement,Poor,Poor,Acceptable
98800013,1,Acceptable,Ordinary,,Excellent,Manageable,Needs Improvement,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good
98800014,0,Good,Ordinary,Good,Good,Manageable,Good,Excellent,,,Acceptable,Good,,,Acceptable,Good
98800015,0,Acceptable,Ordinary,Poor,Poor,Inconvenient,Acceptable,Acceptable,Acceptable,Acceptable,Needs Improvement,Needs Improvement,Needs Improvement,Good,Needs Improvement,Acceptable
98800016,1,Excellent,Ordinary,Excellent,Excellent,Very Convenient,Needs Improvement,Excellent,Good,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable
98800017,0,Needs Improvement,Ordinary,,Needs Improvement,Manageable,Good,Needs Improvement,Good,Good,Acceptable,Poor,Needs Improvement,Good,Needs Improvement,Good
98800018,1,Excellent,Green Car,Excellent,Excellent,Needs Improvement,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Acceptable,Excellent,Excellent,Excellent
98800019,0,Needs Improvement,Green Car,Excellent,Acceptable,Manageable,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Good,Good,Excellent,Good,Excellent,Needs Improvement
98800020,1,Excellent,Green Car,Good,Good,Manageable,Good,Good,Good,Good,Acceptable,Acceptable,Good,Good,Excellent,Good
98800021,0,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Poor,Acceptable,Good,Good,Needs Improvement
98800022,1,Extremely Poor,Green Car,Extremely Poor,Extremely Poor,Needs Improvement,Poor,Acceptable,Poor,Poor,Poor,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Poor
98800023,1,Acceptable,Ordinary,Acceptable,Acceptable,Manageable,Good,Good,Good,Good,Acceptable,Acceptable,Acceptable,Good,Good,Good
98800024,1,Excellent,Green Car,Excellent,Excellent,Manageable,Poor,Excellent,Poor,Poor,Excellent,Acceptable,Excellent,Good,Good,Poor
98800025,1,Excellent,Green Car,Excellent,Excellent,Very Convenient,Acceptable,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable,Excellent,Good
98800026,1,Excellent,Ordinary,Needs Improvement,Excellent,Manageable,Good,Needs Improvement,Needs Improvement,Good,Good,Excellent,Good,Good,Good,Good
98800027,1,Excellent,Green Car,Good,Excellent,Convenient,Acceptable,Good,Good,Poor,Poor,Excellent,Good,Good,Poor,Excellent
98800028,0,Needs Improvement,Green Car,Extremely Poor,Needs Improvement,Manageable,Good,Needs Improvement,Acceptable,Good,Acceptable,Acceptable,Poor,Poor,Good,Good
98800029,0,Acceptable,Ordinary,Poor,Acceptable,Convenient,Poor,Acceptable,Excellent,Poor,Poor,Excellent,Good,Poor,Acceptable,Poor
98800030,1,Needs Improvement,Green Car,,Needs Improvement,Needs Improvement,Acceptable,Good,Good,Good,Good,Good,Good,Excellent,Good,Good
98800031,0,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Good,Acceptable,Excellent,Good,,Good,Acceptable,Needs Improvement,Good,Good
98800032,1,Extremely Poor,Ordinary,Extremely Poor,,Manageable,Acceptable,Good,Acceptable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good,Needs Improvement,Poor
98800033,1,Needs Improvement,Green Car,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Excellent
98800034,1,Excellent,Ordinary,,Excellent,Needs Improvement,Poor,Excellent,Poor,Poor,Acceptable,Needs Improvement,Needs Improvement,Poor,Good,Poor
98800035,1,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good,Good,Good,Good,Good,Good,Acceptable,Good,Good
98800036,0,Needs Improvement,Ordinary,Acceptable,Acceptable,Manageable,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable,Good,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Needs Improvement
98800037,0,Needs Improvement,Ordinary,Excellent,Needs Improvement,Manageable,Good,Needs Improvement,Needs Improvement,Good,Excellent,Good,Good,Good,Good,Good
98800038,0,Needs Improvement,Green Car,Good,Needs Improvement,Manageable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Good,Needs Improvement,Excellent,Good,Good,Needs Improvement
98800039,0,Acceptable,Ordinary,Good,Acceptable,Convenient,Poor,Acceptable,Poor,Poor,Acceptable,Acceptable,Excellent,Good,Excellent,Poor
98800040,0,Good,Ordinary,Poor,Acceptable,Needs Improvement,Poor,Acceptable,Poor,Poor,Good,Poor,Needs Improvement,Good,Acceptable,Poor
98800041,0,Acceptable,Green Car,Acceptable,,Needs Improvement,Poor,Acceptable,Poor,Poor,Acceptable,Acceptable,Good,Excellent,Good,Poor
98800042,1,Needs Improvement,Ordinary,Needs Improvement,,Needs Improvement,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Excellent
98800043,0,Acceptable,Green Car,,Acceptable,Inconvenient,Acceptable,Acceptable,Acceptable,Acceptable,Excellent,Good,Needs Improvement,Poor,Needs Improvement,Acceptable
98800044,0,Acceptable,Green Car,Acceptable,Acceptable,Convenient,Acceptable,Acceptable,Acceptable,Acceptable,Excellent,Good,Excellent,Good,Excellent,Acceptable
98800045,1,Extremely Poor,Ordinary,Extremely Poor,Extremely Poor,Inconvenient,Needs Improvement,Extremely Poor,Needs Improvement,Needs Improvement,Excellent,Excellent,Good,Good,Good,Needs Improvement
98800046,1,Good,Green Car,Good,Excellent,Convenient,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Excellent,Good
98800047,0,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Manageable,Excellent,Needs Improvement,Excellent,Excellent,Poor,Acceptable,Good,Acceptable,Good,Excellent
98800048,1,Excellent,Ordinary,Excellent,,Very Convenient,Needs Improvement,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor
98800049,0,Good,Ordinary,Excellent,,Very Convenient,Excellent,Excellent,Poor,Acceptable,Acceptable,Acceptable,Acceptable,Excellent,Acceptable,Needs Improvement
98800050,1,Good,Ordinary,Good,,Manageable,Needs Improvement,Good,Needs Improvement,Needs Improvement,Excellent,Excellent,Good,Good,Excellent,Needs Improvement
98800051,1,Poor,Green Car,Poor,Poor,Inconvenient,Good,Poor,Poor,Good,Good,Good,Acceptable,Poor,Good,Poor
98800052,0,Poor,Ordinary,Extremely Poor,Extremely Poor,Manageable,Poor,Extremely Poor,Poor,Poor,,Poor,Good,Acceptable,Good,Poor
98800053,0,Poor,Green Car,Excellent,Poor,Manageable,Acceptable,Poor,Acceptable,Acceptable,Good,Excellent,Excellent,Poor,Poor,Acceptable
98800054,0,Poor,Ordinary,Poor,Poor,Manageable,Poor,Poor,Poor,Poor,Poor,Good,Good,Acceptable,Good,Poor
98800055,0,Good,Ordinary,Excellent,Good,Needs Improvement,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Acceptable,Good,Excellent
98800056,1,Extremely Poor,Green Car,Extremely Poor,Extremely Poor,Convenient,Excellent,Excellent,Good,Good,Good,Good,Good,Acceptable,Good,Excellent
98800057,1,Good,Ordinary,Good,Acceptable,Convenient,Good,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Excellent,Good
98800058,1,Good,Ordinary,,Good,Inconvenient,Excellent,Good,Excellent,Excellent,Poor,Needs Improvement,Good,Needs Improvement,Acceptable,Excellent
98800059,0,Acceptable,Green Car,Good,Good,Convenient,Good,Good,Good,Good,Poor,Excellent,Needs Improvement,Poor,Excellent,Good
98800060,1,Good,Green Car,Good,Good,Convenient,Acceptable,Excellent,Good,Acceptable,Acceptable,Good,Acceptable,Acceptable,Acceptable,Good
98800061,1,Good,Ordinary,Good,Good,Needs Improvement,Acceptable,Good,Acceptable,Acceptable,Poor,Poor,Needs Improvement,Acceptable,Poor,Acceptable
98800062,1,Needs Improvement,Ordinary,Needs Improvement,Needs Improvement,Needs Improvement,Excellent,Good,Needs Improvement,Acceptable,Acceptable,Good,Acceptable,Needs Improvement,Acceptable,Needs Improvement
98800063,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Needs Improvement,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Acceptable
98800064,0,Good,Green Car,Needs Improvement,,Manageable,Acceptable,Good,Acceptable,Acceptable,Poor,Poor,Needs Improvement,Needs Improvement,Needs Improvement,Acceptable
98800065,1,Needs Improvement,Ordinary,Good,Needs Improvement,Needs Improvement,Good,Good,Good,Good,Excellent,Excellent,Acceptable,Needs Improvement,Poor,Good
98800066,0,Acceptable,Green Car,Good,Acceptable,Convenient,Good,Acceptable,Good,Good,Excellent,Excellent,Needs Improvement,Excellent,Excellent,Good
98800067,1,Excellent,Ordinary,Excellent,Excellent,Manageable,Good,Excellent,Good,Good,Acceptable,Poor,Good,Excellent,Needs Improvement,Good
98800068,1,Extremely Poor,Green Car,,Extremely Poor,Needs Improvement,Good,Good,Excellent,Excellent,Excellent,Acceptable,Acceptable,Good,Excellent,Acceptable
98800069,1,Excellent,Ordinary,Acceptable,Acceptable,Manageable,Needs Improvement,Good,Good,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Acceptable
98800070,1,Acceptable,Green Car,Acceptable,Acceptable,Manageable,Excellent,Excellent,Good,Excellent,,Excellent,Excellent,Excellent,Excellent,Acceptable
98800071,0,Acceptable,Ordinary,Poor,Poor,Inconvenient,Acceptable,Acceptable,Acceptable,Acceptable,Needs Improvement,Acceptable,Good,Needs Improvement,Acceptable,Acceptable
98800072,1,Excellent,Ordinary,Needs Improvement,Excellent,Convenient,Excellent,Excellent,Excellent,Excellent,Good,Acceptable,Acceptable,Poor,Acceptable,Excellent
98800073,1,Good,Green Car,Good,Good,Convenient,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good
98800074,1,Good,Ordinary,Excellent,Good,Inconvenient,Poor,Poor,Acceptable,Good,Good,Good,Good,Poor,Good,Acceptable
98800075,0,Needs Improvement,Green Car,Acceptable,Acceptable,Manageable,Poor,Good,Acceptable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Needs Improvement,Needs Improvement
98800076,0,Acceptable,Green Car,,Acceptable,Very Convenient,Good,Acceptable,Good,Good,Acceptable,Needs Improvement,Needs Improvement,Poor,Excellent,Good
98800077,1,Extremely Poor,Green Car,Poor,Extremely Poor,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement,Acceptable,,Extremely Poor,Acceptable,Poor,Acceptable,Good
98800078,1,Extremely Poor,Green Car,Extremely Poor,Extremely Poor,Needs Improvement,Acceptable,Good,Good,Good,Good,Good,Good,Excellent,Good,Good
98800079,0,Good,Ordinary,Acceptable,,Convenient,Good,Good,Good,Good,Good,Needs Improvement,Acceptable,Needs Improvement,Good,Good
98800080,0,Needs Improvement,Green Car,Acceptable,Poor,Manageable,Needs Improvement,Needs Improvement,Needs Improvement,Needs Improvement,Poor,Needs Improvement,Needs Improvement,Acceptable,Needs Improvement,Needs Improvement
98800081,0,Poor,Ordinary,Poor,Poor,Manageable,Needs Improvement,Poor,Acceptable,Needs Improvement,Good,Needs Improvement,Good,Good,Good,Needs Improvement
98800082,1,Excellent,Ordinary,Excellent,Excellent,Manageable,Needs Improvement,Excellent,Needs Improvement,Needs Improvement,Good,Acceptable,Acceptable,Good,Good,Needs Improvement
