ID,Gender,Customer_Type,Age,Type_Travel,Travel_Class,Travel_Distance,Departure_Delay_in_Mins,Arrival_Delay_in_Mins
98800001,Female,Loyal Customer,52,,Business,272,0,5
98800002,Male,Loyal Customer,48,Personal Travel,Eco,2200,9,0
98800003,Female,Loyal Customer,43,Business Travel,Business,1061,77,119
98800004,Female,Loyal Customer,44,Business Travel,Business,780,13,18
98800005,Female,Loyal Customer,50,Business Travel,Business,1981,0,0
98800006,Male,Loyal Customer,44,Business Travel,Business,2810,0,0
98800007,Male,Loyal Customer,56,Personal Travel,Eco,2029,0,0
98800008,Male,Loyal Customer,65,Personal Travel,Business,853,0,3
98800009,Male,Loyal Customer,22,Personal Travel,Eco,1636,1,0
98800010,Male,Loyal Customer,57,Business Travel,Business,306,0,0
98800011,Female,Disloyal Customer,25,Business Travel,Business,1761,0,0
98800012,Male,Loyal Customer,26,Personal Travel,Eco,1905,0,0
98800013,Male,Loyal Customer,44,,Business,427,0,0
98800014,Female,Loyal Customer,47,Personal Travel,Eco,1100,20,34
98800015,Male,Loyal Customer,33,Business Travel,Business,1180,49,49
98800016,Female,Loyal Customer,54,,Business,2827,0,0
98800017,Female,Disloyal Customer,9,Business Travel,Eco,2064,14,1
98800018,Male,Loyal Customer,68,Personal Travel,Eco,3756,20,52
98800019,Male,Loyal Customer,26,Personal Travel,Eco,3014,0,0
98800020,Male,Disloyal Customer,24,Business Travel,Eco,1994,22,85
98800021,Male,Loyal Customer,23,Business Travel,Business,1659,0,0
98800022,Male,Loyal Customer,33,Business Travel,Eco,1815,0,0
98800023,Male,Loyal Customer,10,Business Travel,Business,3061,0,0
98800024,Female,Disloyal Customer,22,Business Travel,Business,2063,0,7
98800025,Male,Loyal Customer,55,Business Travel,Business,3550,0,0
98800026,Male,Loyal Customer,36,Personal Travel,Business,451,0,8
98800027,Female,Loyal Customer,62,Personal Travel,Eco,1936,0,0
98800028,Male,Disloyal Customer,39,Business Travel,Eco,1166,0,0
98800029,Male,Loyal Customer,29,Personal Travel,Eco,1907,2,14
98800030,Male,Loyal Customer,54,Business Travel,Business,1596,0,0
98800031,Male,Loyal Customer,9,,Eco,2379,100,93
98800032,Male,Loyal Customer,76,Business Travel,Business,285,0,0
98800033,Male,,30,Business Travel,Business,3357,11,0
98800034,Male,Disloyal Customer,22,Business Travel,Business,2515,42,30
98800035,Male,,41,Business Travel,Business,1724,8,20
98800036,Female,Loyal Customer,54,Business Travel,Business,2032,65,154
98800037,Male,Loyal Customer,7,Personal Travel,Eco,1915,0,0
98800038,Male,Loyal Customer,32,Personal Travel,Eco,2160,76,74
98800039,Male,,46,Personal Travel,Eco,2608,0,0
98800040,Male,Loyal Customer,35,,Eco,1818,18,2
98800041,Female,Disloyal Customer,44,Business Travel,Business,1388,11,0
98800042,Female,Loyal Customer,43,Business Travel,Business,1232,0,0
98800043,Male,Loyal Customer,25,,Eco,1382,0,0
98800044,Male,Disloyal Customer,46,,Business,2614,0,0
98800045,Male,Disloyal Customer,25,,Eco,2103,27,10
98800046,Female,Loyal Customer,26,Business Travel,Business,3658,0,0
98800047,Female,Disloyal Customer,38,Business Travel,Eco,1492,67,64
98800048,Female,Loyal Customer,61,Business Travel,Eco,61,62,64
98800049,Female,Loyal Customer,52,,Eco,814,0,0
98800050,Female,,25,Business Travel,Business,1784,0,0
98800051,Female,Loyal Customer,49,Business Travel,Business,141,0,0
98800052,Female,Loyal Customer,26,Business Travel,Business,4560,0,7
98800053,Male,Loyal Customer,21,Personal Travel,Eco,2570,42,68
98800054,Male,Disloyal Customer,24,Business Travel,Eco,2979,0,0
98800055,Male,Loyal Customer,34,Personal Travel,Eco,2497,0,0
98800056,Male,Loyal Customer,50,Business Travel,Business,1961,0,0
98800057,Female,,39,Business Travel,Business,2016,0,14
98800058,Male,,27,Personal Travel,Eco,2759,0,0
98800059,Female,Disloyal Customer,30,Business Travel,Eco,1142,0,0
98800060,Male,Loyal Customer,48,Business Travel,Business,2083,0,0
98800061,Male,Disloyal Customer,25,Business Travel,Business,2055,0,0
98800062,Female,Loyal Customer,39,Business Travel,Business,1096,0,0
98800063,Male,,47,Business Travel,Business,1617,1,0
98800064,Male,Loyal Customer,18,Personal Travel,Eco,1495,0,0
98800065,Female,Loyal Customer,27,Personal Travel,Eco,1697,25,1
98800066,Male,,32,Personal Travel,Eco,2651,59,36
98800067,Female,Loyal Customer,37,Personal Travel,Eco,2813,0,0
98800068,Female,Loyal Customer,34,Business Travel,Business,381,1,5
98800069,Female,Loyal Customer,23,Personal Travel,Eco,2524,7,0
98800070,Female,Loyal Customer,56,Personal Travel,Eco,284,57,52
98800071,Male,Loyal Customer,55,Business Travel,Eco,1554,0,0
98800072,Male,Loyal Customer,10,Personal Travel,Eco,2825,0,5
98800073,Female,Loyal Customer,45,Business Travel,Business,375,13,5
98800074,Female,Loyal Customer,63,,Eco,257,0,0
98800075,Female,Loyal Customer,48,Business Travel,Eco,911,0,4
98800076,Male,Disloyal Customer,10,Business Travel,Eco,2530,0,2
98800077,Female,Loyal Customer,42,,Eco,470,2,23
98800078,Female,Loyal Customer,37,Business Travel,Business,338,0,0
98800079,Male,Loyal Customer,32,Personal Travel,Eco,3708,15,0
98800080,Male,Loyal Customer,25,,Business,5406,0,0
98800081,Female,Disloyal Customer,22,Business Travel,Eco,1533,0,8
98800082,Male,Disloyal Customer,25,Business Travel,Eco,2275,3,0
98800083,Female,Disloyal Customer,29,Business Travel,Business,2816,0,0
98800084,Female,Loyal Customer,44,Business Travel,Business,4013,0,0
98800085,Male,Loyal Customer,13,Personal Travel,Eco,1958,0,0
98800086,Female,Loyal Customer,60,Business Travel,Business,2158,0,0
98800087,Male,Disloyal Customer,41,Business Travel,Business,1518,0,0
98800088,Female,,57,Business Travel,Business,472,3,4
98800089,Male,Disloyal Customer,46,Personal Travel,Eco,1708,0,0
98800090,Male,Loyal Customer,64,Personal Travel,Eco,2390,0,0
98800091,Female,Loyal Customer,23,Business Travel,Eco,3132,0,0
98800092,Female,Loyal Customer,73,,Business,1789,0,0
98800093,Female,Loyal Customer,30,Business Travel,Business,2634,15,38
98800094,Female,Disloyal Customer,30,Business Travel,Eco,1861,5,0
98800095,Male,Loyal Customer,50,Business Travel,Eco,1698,0,0
98800096,Male,Disloyal Customer,23,Business Travel,Business,2628,0,0
98800097,Male,Disloyal Customer,25,,Business,2297,16,0
98800098,Female,Loyal Customer,24,Business Travel,Business,1109,75,76
98800099,Female,Loyal Customer,33,Personal Travel,Eco,1811,22,15
98800100,Male,Loyal Customer,20,Personal Travel,Eco,1803,5,2
98800101,Male,Loyal Customer,45,,Business,1462,0,0
98800102,Female,Disloyal Customer,44,Business Travel,Eco,1741,8,0
98800103,Male,Loyal Customer,23,Personal Travel,Eco,3064,113,120
98800104,Female,Loyal Customer,52,Business Travel,Business,3742,0,0
98800105,Female,Loyal Customer,44,Business Travel,Business,340,0,0
98800106,Female,Loyal Customer,60,Business Travel,Business,89,0,0
98800107,Female,Disloyal Customer,49,Business Travel,Business,1756,10,0
98800108,Female,Loyal Customer,21,Personal Travel,Eco,1725,0,0
98800109,Female,,9,Personal Travel,Eco,1815,0,0
98800110,Female,,40,Personal Travel,Eco,3506,0,0
98800111,Male,Loyal Customer,30,Business Travel,Business,2849,84,100
98800112,Female,Loyal Customer,41,Business Travel,Business,1182,0,0
98800113,Male,Loyal Customer,26,Business Travel,Business,4615,17,6
98800114,Male,Loyal Customer,58,Personal Travel,Eco,1588,15,14
98800115,Female,Loyal Customer,40,Business Travel,Business,1003,0,10
98800116,Male,Loyal Customer,22,Business Travel,Business,4733,0,2
98800117,Male,Loyal Customer,28,Business Travel,Business,2355,0,0
98800118,Female,Loyal Customer,41,,Business,1736,0,0
98800119,Male,Disloyal Customer,24,Business Travel,Business,1740,0,0
98800120,Female,Loyal Customer,29,,Business,4199,4,0
98800121,Male,Loyal Customer,42,Business Travel,Eco,1684,42,30
98800122,Female,Disloyal Customer,25,,Eco,1987,0,0
98800123,Female,Loyal Customer,45,Business Travel,Business,1297,0,0
98800124,Male,Loyal Customer,43,Personal Travel,Eco,2390,99,111
98800125,Female,Loyal Customer,19,Personal Travel,Eco,1539,0,0
98800126,Female,Loyal Customer,10,Personal Travel,Eco,2203,66,57
98800127,Female,Loyal Customer,62,,Eco,261,0,5
98800128,Male,Loyal Customer,57,Business Travel,Business,2182,0,0
98800129,Female,Loyal Customer,23,Business Travel,Business,2658,0,0
98800130,Female,Loyal Customer,59,Business Travel,Business,2142,0,0
98800131,Female,Loyal Customer,38,Business Travel,Business,2955,0,26
98800132,Male,,31,Personal Travel,Eco,1809,0,0
98800133,Male,Loyal Customer,25,Business Travel,Eco,1900,0,0
98800134,Female,Loyal Customer,24,,Business,5135,0,0
98800135,Male,Loyal Customer,48,Personal Travel,Eco,1551,0,0
98800136,Male,Loyal Customer,28,Personal Travel,Eco,1160,0,0
98800137,Male,Disloyal Customer,37,Business Travel,Business,2141,18,43
98800138,Male,Loyal Customer,18,Personal Travel,Eco,4056,0,0
98800139,Male,Disloyal Customer,36,Business Travel,Business,2236,1,0
98800140,Female,Loyal Customer,64,Personal Travel,Eco,307,0,0
98800141,Male,Loyal Customer,7,,Eco,2250,125,107
98800142,Female,Loyal Customer,43,Business Travel,Business,2334,4,4
98800143,Male,Loyal Customer,46,,Business,955,0,7
98800144,Male,Loyal Customer,53,Business Travel,Business,1753,0,0
98800145,Male,Disloyal Customer,29,Business Travel,Business,2651,0,0
98800146,Male,Loyal Customer,17,Personal Travel,Eco,2803,1,0
98800147,Male,Loyal Customer,24,Personal Travel,Eco,1663,0,0
98800148,Male,Loyal Customer,52,Business Travel,Business,515,96,88
98800149,Female,Loyal Customer,18,Business Travel,Eco,2084,20,20
98800150,Male,Loyal Customer,42,Business Travel,Eco,2599,0,21
98800151,Male,Disloyal Customer,34,Business Travel,Eco,1792,0,0
98800152,Female,Loyal Customer,77,Business Travel,Business,2381,0,0
98800153,Male,Loyal Customer,39,Business Travel,Eco,1906,9,2
98800154,Female,Loyal Customer,65,,Eco,612,0,0
98800155,Male,Loyal Customer,69,,Eco,1500,0,8
98800156,Female,Disloyal Customer,37,Business Travel,Eco,2120,23,18
98800157,Male,Disloyal Customer,36,Business Travel,Business,2938,0,0
98800158,Female,,33,Personal Travel,Eco,2144,4,4
98800159,Male,Loyal Customer,38,Personal Travel,Eco,1327,0,0
98800160,Male,Loyal Customer,56,,Business,1857,3,5
98800161,Female,Loyal Customer,27,Business Travel,Business,3653,0,0
98800162,Female,Loyal Customer,13,Personal Travel,Business,1890,0,0
98800163,Female,Loyal Customer,25,Business Travel,Eco,2050,0,0
98800164,Female,Loyal Customer,41,Business Travel,Business,2267,13,21
98800165,Male,Loyal Customer,28,Business Travel,Business,1989,3,19
98800166,Male,Disloyal Customer,22,,Eco,3690,3,0
98800167,Male,Loyal Customer,22,,Business,2856,0,0
98800168,Female,,37,Business Travel,Eco,2226,15,0
98800169,Female,Disloyal Customer,24,,Eco,1115,0,0
98800170,Male,Loyal Customer,55,Business Travel,Eco,2879,16,35
98800171,Male,Loyal Customer,40,Business Travel,Business,2592,61,50
98800172,Female,Loyal Customer,56,Business Travel,Business,1555,0,0
98800173,Male,Loyal Customer,24,Business Travel,Business,2317,64,55
98800174,Female,Loyal Customer,37,Business Travel,Eco,1508,0,0
98800175,Male,Disloyal Customer,16,Business Travel,Eco,2410,0,0
98800176,Female,Loyal Customer,34,Business Travel,Business,455,19,10
98800177,Female,Loyal Customer,60,Business Travel,Business,3810,0,0
98800178,Female,Loyal Customer,60,Business Travel,Eco,96,0,0
98800179,Female,Loyal Customer,30,Business Travel,Business,2561,41,31
98800180,Male,Loyal Customer,58,Business Travel,Business,423,2,0
98800181,Female,,54,Business Travel,Business,827,0,0
98800182,Female,Loyal Customer,35,Business Travel,Business,1655,14,13
98800183,Female,,65,Business Travel,Business,1972,118,102
98800184,Male,Loyal Customer,36,Personal Travel,Eco,1244,0,0
98800185,Female,Loyal Customer,25,Business Travel,Business,4244,5,12
98800186,Male,Loyal Customer,47,Business Travel,Business,2881,54,82
98800187,Female,Disloyal Customer,22,Business Travel,Eco,2228,0,0
98800188,Female,,38,Business Travel,Business,1773,0,0
98800189,Male,Loyal Customer,52,Business Travel,Business,1414,0,0
98800190,Female,Loyal Customer,41,Business Travel,Eco,3498,0,0
98800191,Female,Loyal Customer,70,Personal Travel,Eco,908,0,0
98800192,Male,Loyal Customer,61,Business Travel,Business,463,69,51
98800193,Female,,51,Personal Travel,Eco,1215,7,0
98800194,Male,Loyal Customer,56,Business Travel,Business,79,0,0
98800195,Male,,20,Business Travel,Eco,1698,0,0
98800196,Female,Loyal Customer,58,Business Travel,Business,419,0,0
98800197,Male,Loyal Customer,9,Personal Travel,Eco,1478,0,0
98800198,Male,Loyal Customer,66,Business Travel,Business,3950,62,70
98800199,Female,Loyal Customer,40,Business Travel,Eco,1742,7,0
98800200,Male,Disloyal Customer,47,,Eco,1229,0,0
98800201,Female,Disloyal Customer,22,Business Travel,Eco,1933,0,0
98800202,Male,Loyal Customer,40,Business Travel,Eco,1903,11,3
98800203,Female,Loyal Customer,20,Personal Travel,Eco,1850,0,0
98800204,Female,Loyal Customer,67,Personal Travel,Business,1692,65,61
98800205,Female,Loyal Customer,52,Business Travel,Eco,823,0,4
98800206,Female,Loyal Customer,37,Personal Travel,Eco,2697,0,0
98800207,Female,Loyal Customer,56,Business Travel,Business,3357,0,0
98800208,Female,Loyal Customer,14,Business Travel,Eco,3022,5,7
98800209,Male,Loyal Customer,54,Business Travel,Business,616,0,0
98800210,Female,Loyal Customer,52,Personal Travel,Business,1529,0,17
98800211,Female,Loyal Customer,11,Personal Travel,Eco,2201,0,0
98800212,Female,Loyal Customer,43,Personal Travel,Eco,1663,0,0
98800213,Male,,58,Personal Travel,Eco,1213,0,0
98800214,Male,Loyal Customer,51,,Eco,1960,0,0
98800215,Female,Loyal Customer,44,Personal Travel,Eco,1923,0,0
98800216,Female,Loyal Customer,69,Personal Travel,Eco,574,0,5
98800217,Female,Disloyal Customer,54,,Business,1925,84,103
98800218,Female,Loyal Customer,58,Business Travel,Business,1659,0,0
98800219,Male,Disloyal Customer,26,Business Travel,Eco,1484,0,22
98800220,Female,Loyal Customer,54,Personal Travel,Eco,694,25,34
98800221,Male,,11,Business Travel,Eco,2719,0,1
98800222,Male,Loyal Customer,30,Business Travel,Eco,2025,0,0
98800223,Female,Disloyal Customer,24,Business Travel,Eco,1854,25,13
98800224,Male,Disloyal Customer,27,Business Travel,Eco,2082,149,139
98800225,Female,,23,Business Travel,Eco,1425,0,3
98800226,Male,Loyal Customer,47,Business Travel,Business,2363,0,0
98800227,Female,Disloyal Customer,29,Business Travel,Eco,1471,1,0
98800228,Female,Loyal Customer,53,Business Travel,Business,1696,4,0
98800229,Male,Loyal Customer,41,Business Travel,Business,3663,0,0
98800230,Male,Loyal Customer,35,Personal Travel,Eco,2074,0,0
98800231,Male,,27,Business Travel,Business,4943,181,NA
98800232,Female,Loyal Customer,24,Personal Travel,Eco,1711,10,NA
98800233,Male,,29,Personal Travel,Eco,1812,0,0
98800234,Male,Loyal Customer,55,Business Travel,Business,702,9,86
98800235,Female,Loyal Customer,12,Personal Travel,Eco,2152,0,0
98800236,Female,Loyal Customer,7,Personal Travel,Eco,975,25,35
98800237,Male,,35,Business Travel,Business,334,7,0
98800238,Male,,64,Personal Travel,Eco,2141,6,1
98800239,Female,Loyal Customer,38,Personal Travel,Eco,2250,0,0
98800240,Male,Disloyal Customer,39,Business Travel,Business,1906,0,0
98800241,Male,Disloyal Customer,25,Business Travel,Eco,1501,0,0
98800242,Female,Loyal Customer,30,Business Travel,Eco,1895,0,10
98800243,Female,,20,Business Travel,Eco,1956,32,15
98800244,Male,Loyal Customer,33,,Business,4295,5,0
98800245,Male,Loyal Customer,49,Personal Travel,Eco,2482,0,0
